property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
264,2,0,128,بلوار آیت الله ایزدی,,,,833300000,,شمالی جنوبی,,,,,,با کاغذ قیمت(مهندس خانی - 1401/10/3)  کوچه 8 متری,6,264,264,buy,0,0,upload/property/thumbnail/photo_2022-12-10_11-21-18.jpg,,,,,,,,1,1,
265,2,0,302,بلوار فجر,,,,2114000000,,شمالی جنوبی,,,,,,با کاغذ قیمت(مهندس خانی - 1401/10/3)  معاوضه با منزل رضایی مرکزی و همکف  و زمین شمالی در شمال شهر,6,265,265,buy,0,0,upload/property/thumbnail/GOPR2341.JPG,,,,,,,,1,1,
266,1,0,314,خیابان منتظری شمالی,3,,8,13105110000,بتونی,شمالی,سنگ,سرامیک,های گلاس,1,1,با کاغذ قیمت(ابراهیم پورنمازیان - 1401/4/26)  دو خواب پایین  دو خواب همکف  و دو واحد طبقه بالا هر واحد دو خواب  کولر - موکت - پرده,6,266,266,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
268,2,0,160,بلوار دانشگاه,,,,1203750000,,شمالی,,,,,,با کاغذ قیمت(مهندس خانی - 1401/8/3)  قیمت پیشنهادی یک میلیارد و سیصد میلیون  کوچه 8 متری  فقط فروش,6,268,268,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
269,4,0,2000,کمربندی خمینی شهر,,,,12000000000,,,,,,1,1,بدون کاغذ قیمت و عکس و فیلم  راه اسفالت  زمین والیبال  آب کشاورزی  قابل معاوضه با نصف قیمت با ملک در نجف آباد  ,6,269,269,buy,0,0,upload/property/thumbnail/GOPR2363.JPG,,,,,,,,1,1,
270,4,0,3500,فلکه ویلاشهر به طرف گلدشت,,,,6800000000,,,,,,,,بدون کاغذ قیمت و فیلم و عکس  آب کانال 2/45 دقیقه و آب چاه 1/45 دقیقه  آب انبار 100 متر  استخر مسقف  معاوضه با ملک در نجف آباد,6,270,270,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
272,2,0,120,پارک لاله,,,,1300000000,,شمالی,,,,,,بدون کاغذ قیمت  بدون ساخت و درخت  برق فرعی  ده دقیقه آب,6,272,272,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
273,1,0,216,خیابان رجایی جنوبی,2,,5,4556000000,نیمه اسکلت,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(1401/10/10 - مهدی خانیان)  با تسویه شهرداری  تانک و پمپ  3 خواب پایین  2 خواب بالا,6,273,273,buy,0,0,upload/property/thumbnail/GOPR2380.JPG,,,,,,,,1,1,
274,1,0,184,خیابان امیرکبیر,,,2,2300000000,آهن,غربی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی پورنمازیان -1400/7/28)  فروش نقدی یا معاوضه با آهن آجر 3 خواب  پرده - کولر - موکت,6,274,274,buy,0,0,upload/property/thumbnail/GOPR2396.JPG,,,,,,,,1,1,
275,1,0,519,کوچه صفا  مقابل مسجد,,,3,4778640000,,شمالی,کاهگلی,موزاییک,فلز,1,1,کاغذ قیمت(1400/6/19 - ابوالقاسم خانی)  هواری  فقط فروش نقد,6,275,275,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
276,1,0,107,خیابان شهدا,2,,2,1747850000,,جنوبی,اجرنما,موزاییک,MDF,1,1,با کاغذ قیمت(املاک برج - مصطفی یحیی - 1400/11/10)  ابراهیم پورنمازیان(1401/11/1-2070432000 تومان)  با تسویه حساب شهرداری  فروش یا معاوضه با همکف در همین محدوده  کولر,6,276,276,buy,0,0,upload/property/thumbnail/GOPR2409.JPG,,,,,,,,1,1,
277,1,0,150,خیابان نمازی,,,3,,,,اجرنما,سرامیک,MDF,,,رهن کامل  بدون تبدیل  پارکینگ موتور  ورودی مشترک  ,6,277,277,rent,0,300000000,upload/property/thumbnail/GOPR2449.JPG,,,,,,,,1,1,
278,6,2,,اصفهان-خیابان امام خمینی,,,2,3510000000,,شمالی جنوبی,,,,1,,بدون کاغذ قیمت و عکس فیلم  سند 30 اردیبهشت سال 1402  آماده می شود  تحویل بهمن 1401  قابل معاوضه با ملک در نجف آباد,6,278,278,buy,0,0,upload/property/thumbnail/GOPR2434.JPG,,,,,,,,1,1,
279,1,0,330,اصفهان-بهرام آباد نرسیده به ملک شهر ,,,2,5000000000,آهن,شمالی جنوبی,,,,1,1,بدون کاغذ قیمت و عکس و فیلم  50 متر تجاری  پروانه 3 طبقه  قابل معاوضه با ملک در نجف آباد,6,279,279,buy,0,0,upload/property/thumbnail/GOPR2458.JPG,,,,,,,,1,1,
280,6,6,,فلکه دانشگاه,,,3,2880000000,نوساز,,,,,1,,بدون کاغذ قیمت و فیلم و عکس  تحویل شب عید  سند خرداد 1402 آماده می شود  قابل معاوضه با ملک در نجف آباد,6,280,280,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
281,1,0,153,خیابان منتظری شمالی,2,,5,4200000000,بتونی,جنوبی,اجر زبره,پارکت,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/9)  با تسویه شهرداری  فروش نقدی یا معاوضه با آجر آهن یا همکف در حد 2200,6,281,281,buy,0,0,upload/property/thumbnail/GOPR2475.JPG,,,,,,,,1,1,
282,1,0,500,خیابان 17 شهریور,,,2,15234000000,کلنگی,جنوبی,کاهگلی,موزاییک,فلز,,1,بدون کاغذ قیمت  هواری  مناسب برای آپارتمان سازی و تجاری,6,282,282,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
283,1,0,431,خیابان قدس غربی,,,3,9027000000,آهن,جنوبی,اجرنما,موزاییک,فلز,,1,دفتر ساختمانی قدس(کریمخانی-1402/1/29)  هواری  فروش نقدی با تخفیف  غیرقابل معاوضه,6,283,283,buy,0,0,upload/property/thumbnail/GOPR2489.JPG,,,,,,,,1,1,
286,1,0,159,بلوار اسرافیلیان,,,1,2912050000,بتونی,جنوب شرقی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان - 1401/4/21)  تسویه شهرداری  کولر - زیرزمین(انباری)  فروش فقط نقدی,6,286,286,buy,0,0,upload/property/thumbnail/GOPR2500.JPG,,,,,,,,1,1,
287,1,0,150,خیابان شریعتی,2,,3,3618000000,نیمه اسکلت,شمالی,اجرنما,موزاییک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/8/26)  با تسویه شهرداری  بالا دو خواب  پایین یک خواب  فروش و معاوضه با زمین قابل ساخت و خوش جا تا یک و پانصد,6,287,287,buy,0,0,upload/property/thumbnail/GOPR2307.JPG,,,,,,,,1,1,
289,5,0,113,خیابان شریعتی,,,,8377000000,,شمالی,,,,,1,با کاغذ قیمت(مهدی خانیان - 1401/10/11)  بدون فیلم و عکس  با پروانه انباری و دفترکار  همکف تجاری  معاوضه با خانه تا 4 میلیارد یا زمین برای ساخت,6,289,289,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
290,1,0,142,خیابان 17 شهریور,,,,1229000000,کلنگی,شمالی,خشت و گل,موزاییک,فلز,,,با کاغذ قیمت(مهدی خانیان)  با تسویه شهرداری  هواری,6,290,290,buy,0,0,upload/property/thumbnail/GOPR2537.JPG,,,,,,,,1,1,
291,1,0,120,خیابان شریعتی,2,,3,2702000000,بتونی,شمالی,اجرنما,موزاییک,سنگ و فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/3)  با تسویه شهرداری  تانک و پمپ  فقط فروش نقدی,6,291,291,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
292,1,0,116,خیابان منتظری شمالی,2,,3,2428000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/20)  با تسویه شهرداری   فقط فروش نقدی,6,292,292,buy,0,0,upload/property/thumbnail/GOPR2554.JPG,,,,,,,,1,1,
293,2,0,187,خیابان کشاورز  کوچه اردیبهشت,,,,1763000000,,جنوبی,,,,,,بدون کاغذ قیمت,6,293,293,buy,0,0,upload/property/thumbnail/GOPR2566.JPG,,,,,,,,1,1,
295,5,0,,خیابان امام,,,,,,,,,,,1,دو طبقه و هر طبقه هرماه 2 میلیون  مناسب برای انباری,6,295,295,rent,4000000,15000000,upload/property/thumbnail/GOPR2525.JPG,,,,,,,,1,1,
296,1,0,,بلوار فجر,,,3,,,جنوبی,اجرنما,سرامیک,فلز,1,,طبقه اول - پارکینگ ماشین  شیک و تمیز - ورودی مشترک  پرده - کولر - آیفون تصویری  کمد دیواری در یک اتاق,6,296,296,rent,5000000,50000000,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
298,1,0,188,خیابان خرم غربی,2,,4,4000000000,بتونی,جنوبی,سنگ,سرامیک,MDF,1,1,بدون کاغذ قیمت  دو خواب پایین   دو خواب بالا  پکیج و رادیات  گچبری و نقاشی  فروش نقدی با تخفیف  معاوضه با زمین قابل ساخت یا آهن آجر در محدوده شمال شهر,6,298,298,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
299,1,0,156,خیابان آیت جنوبی,2,,3,4200000000,اسکلت,غربی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(1401/8/24مهدی خانیان)  با تسویه شهرداری  دو خواب بالا  یک خواب پایین  دزدگیر و دوربین  شیک نوساز  فروش نقدی  معاوضه با مورد هواری,6,299,299,buy,0,0,upload/property/thumbnail/GOPR2583.JPG,,,,,,,,1,1,
300,6,2,,خیابان نمازی,,,2,1500800000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,,با کاغذ قیمت( مهدی خانیان-1401/10/20),6,300,300,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
302,2,0,151,17 شهریورغربی,,,,1600000000,,شمالی,,,,,,بدون کاغذ قیمت  فروش نقدی,6,302,302,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
303,2,0,150,خیابان مجاهد شمالی,,,,800000000,,جنوبی,,,,,,بدون کاغذ قیمت  رفیق شهاب ابراهیمی,6,303,303,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
304,2,0,118,خیابان امام رضا,,,,802400000,,جنوبی,,,,,,بدون کاغذ قیمت  متری 6800,6,304,304,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
305,1,0,320,خیابان شریعتی,2,,5,9500000000,,شمالی جنوبی شرقی,اجرنما,پارکت,MDF,1,1,بدون کاغذ قیمت    دارای دو پذیرایی رسمی و خصوصی ، انباری ، کف پوش پارکت - دارای کولر گازی ، پکیج ، شوفاژ ، آیفون تصویری - بر کوچه 10 متری و ۸متری  ,6,305,305,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
306,2,0,280,بلوار ایزدی,,,,1610000000,,شمالی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/4/11)  دو پلاک به ابعاد 20*7  اختصاصی با درب,6,306,306,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
307,2,0,969,کمربندی جنوبی,,,,1138000000,,شمالی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/3/17)  15دقیقه آب لوله کشی  دیوارکشی و آب چاه  معاوضه با آپارتمان یا فروش نقد,6,307,307,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
308,2,0,195,بلوار ولیعصر,,,,783000000,,جنوبی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/3/22)  بن بست 8 متری واختصاصی  ,6,308,308,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
311,2,0,189,بلوار فجر,,,,1323700000,,جنوبی,,,,,,با کاغذ قیمت(مرتضی خانیان-1401/3/16)  فروش نقد یا معاوضه با منزل,6,311,311,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
312,2,0,560,خیابان کلوپ سمندری,,,,3752000000,,جنوبی,,,,,,با کاغذ قیمت(ابراهیم پورنمازیان-1400/6/25)  فروش با قیمت کارشناسی به روز  آقای یزدانی(داماد خانواده-09136552985),6,312,312,buy,0,0,upload/property/thumbnail/photo_۲۰۲۳-۰۸-۲۴_۱۱-۲۳-۰۶ (2).jpg,,,,,,,,1,1,
313,5,0,,خیابان شهدا,,,,,بتونی,غربی,,,,,,امتیازات کامل  سرویس بهداشتی  شیک و نوساز,6,313,313,rent,2000000,70000000,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
314,2,0,241,خیابان رضایی شمالی,,,,2900000000,,جنوبی,,,,,,بدون کاغذ قیمت  با پروانه یک طبقه  معاوضه با منزل تا 4200  بهزاد سلیمانی قیمت کرده,6,314,314,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
315,1,0,173,خیابان نمازی,2,,3,4096850000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(بهزاد سلیمانی-1401/8/16)  تسویه شهرداری-کمد دیواری  تانک و پمپ  دو خواب بالا  یک خواب پایین  معاوضه با منزل در ویلاشهر یا بلوار ولی عصر  یک میلیارد سر بگیرند,6,315,315,buy,0,0,upload/property/thumbnail/GOPR2628.JPG,,,,,,,,1,1,
316,1,0,198,خیابان منتظری شمالی,2,,4,4924000000,بتونی,شمالی,اجرنما,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/28)  با تسویه شهرداری  تانک و پمپ و 2 کولرگازی  معاوضه با منزل نوساز  دو خواب پایین  دو خواب بالا,6,316,316,buy,0,0,upload/property/thumbnail/GOPR2614.JPG,,,,,,,,1,1,
317,5,0,37,17 شهریور غربی,,,,6359990000,,شمالی,اجرنما,موزاییک,,,1,با کاغذ قیمت(مهدی پورنمازیان-1401/3/28)  کولر-درب کرکره و سکوریت  معاوضه با منزل تا 4 میلیارد  بدون عکس و فیلم,6,317,317,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
320,1,0,247,خیابان محمد رسول الله,,,3,3045000000,آهن,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/24)  فروش نقد یا معاوضه با همکف قیمت پایین  با تسویه شهرداری  یک خواب سر پله  دو خواب پایین,6,320,320,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
321,1,0,234,خیابان شهدا,,,3,3730000000,آهن,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/1)  بدون عکس و فیلم  با تسویه شهرداری  فروش نقدی و یا معاوضه با همکف تا 2 میلیارد,6,321,321,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
322,4,0,1000,نهضت آباد,,,,940000000,,شمالی,,,,,1,بدون کاغذ قیمت  بدون عکس و فیلم  5 دقیقه آب سد خمیران  دیوارکشی,6,322,322,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
324,1,0,167,خیابان 17 شهریور,,,2,2485836500,بتونی,شمالی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(بهزاد سلیمانی-1401/10/21)  1/5 طبقه  50 درصد از تسویه شهرداری  آیفون تصویری-کمددیواری  هود و پکیج  پمپ و تانک - شیشه سکوریت  معاوضه با زمین تا 1  دو طبقه است ولی طبقه اول به فروش می رود و کل امتیازات و سند جداگانه است,6,324,324,buy,0,0,upload/property/thumbnail/GOPR2678.JPG,,,,,,,,1,1,
325,1,0,91,بلوار بهارستان,,,2,2191000000,بتونی,شمالی,اجرنما,سرامیک,MDF,,1,با کاغذ قیمت(مهدی خانیان-1401/10/18)  با تسویه شهرداری  تانک و پمپ - فاضلاب شهری  کمد دیواری - کولر,6,325,325,buy,0,0,upload/property/thumbnail/GOPR2655.JPG,,,,,,,,1,1,
326,1,0,149,خیابان ابوذر شمالی,,,2,3250000000,بتونی,جنوبی,اجرنما,سرامیک,فلز,,1,با کاغذ قیمت(مهدی خانیان-1401/5/15)  با تسویه حساب شهرداری  با پرده - دزدگیر  پروانه ساخت دو طبقه  معاوضه با همکف 3 خواب یا دوبلکس و 200 سر میدهد,6,326,326,buy,0,0,upload/property/thumbnail/GOPR2666.JPG,,,,,,,,1,1,
327,2,0,21,شریعتی غربی,,,,695500000,,جنوبی,,,,,,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/5/10)  دو نبش  معرف اسدالله گچی  زمین تجاری,6,327,327,buy,0,0,upload/property/thumbnail/GOPR2645.JPG,,,,,,,,1,1,
328,1,0,199,امیرآباد-آزادگان  خیابان عطار,,,3,3530267000,اسکلت,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(بهزاد سلیمانی-1401/10/4)  1/5 طبقه(دوبلکس)  با تسویه شهرداری  پکیج - هود - کمد  معاوضه با منزل در نجف آباد  دو خواب بالا  یک خواب پایین  ,6,328,328,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
329,5,0,21,خیابان امام غربی,,,,665700000,شیروانی سفال,شرقی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/10/4)  با تسویه تجاری  کابینت و لوله کشی و سرویس بهداشتی,6,329,329,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
330,5,0,28,خیابان امام غربی,,,,887765000,,شمال شرقی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/10/4)  با تسویه تجاری  درب برقی - لوله کشی و سرویس بهداشتی,6,330,330,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
331,4,0,2038,فلکه دانشگاه,,,,6367000000,,شمالی,,,,,1,با کاغذ قیمت(مهدی خانیان-1401/10/10)  دیوارکشی گلی با درخت  45 دقیقه لوله کشی  معاوضه با منزل نوساز,6,331,331,buy,0,0,upload/property/thumbnail/GOPR2691.JPG,,,,,,,,1,1,
332,2,0,219,بلوار بهارستان,,,,2963500000,,شمالی,,,,,,با کاغذ قیمت(مهدی پورنمازیان-1400/8/30)  معاوضه با منزل,6,332,332,buy,0,0,upload/property/thumbnail/GOPR2712.JPG,,,,,,,,1,1,
333,1,0,338,خیابان شریعتی,,,2,3792000000,آهن,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/8/9)  فروش نقدی با تخفیف ویژه  یا معاوضه با منزل در حد 2 میلیارد  با تسویه شهرداری  بدون فیلم و عکس,6,333,333,buy,0,0,upload/property/thumbnail/GOPR2725.JPG,,,,,,,,1,1,
334,2,0,219,خیابان محمد رسول الله,,,,1319500000,,شمالی,,,,,,با کاغذ قیمت(1400/12/20)  درب و دیوار 3 طرف بلوکی,6,334,334,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
335,4,0,700,جاده شرکت سابیر,,,,1125000000,,جنوبی,,,,,1,با کاغذ قیمت(مهدی خانیان-1401/8/22)  دیوار کشی 4 طرف  هر هفته 4 ساعت آب  بدون عکس و فیلم,6,335,335,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
336,4,0,4441,جاده فولادشهر,,,,8059150000,,شرقی,,,,,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/7/9)  هشت ساعت آب از چاه هادی  استخر - آبنما-کباب پز  حیاط سازی  با تسویه شهرداری  بدون فیلم و عکس,6,336,336,buy,0,0,upload/property/thumbnail/GOPR2738.JPG,,,,,,,,1,1,
337,4,0,617,بلوار پرستار-خیابان  سایت-خیابان پولادچنگ-دو نبش جنوبی غربی,,,,2743103000,بتونی,جنوبی غربی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/9/26)  با تسویه شهرداری  لوله کشی فاضلاب  60 اصله درخت  جدول-آهن کشی و دیوار  8 دقیقه آب  بدون فیلم و عکس,6,337,337,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
338,1,0,241,خیابان منتظری شمالی,2,,1,3889670000,بتونی,جنوبی,اجر زبره,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی پورنمازیان-1401/11/1)  طبقه دوم سفتکاری  فقط فروش  کولر - تانک و پمپ,6,338,338,buy,0,0,upload/property/thumbnail/GOPR2749.JPG,,,,,,,,1,1,
339,1,0,233,خیابان محمد رسول الله,2,,4,3661500000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم عبدالعظیمی - 1401/8/18)  دو خواب پایین  دو سوئیت بالا و هر سوئیت یک خواب  کولر - تانک و پمپ  کمد دیواری  فروش,6,339,339,buy,0,0,upload/property/thumbnail/GOPR2592.JPG,,,,,,,,1,1,
340,1,0,138,بلوار حججی,2,,3,2783750000,بتونی,جنوبی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/8/18)  بالابر-تانک و پمپ-کولر-فاضلاب-کمد دیواری  فروش نقدی  شماره تماس ازآقای نادی  یک خواب پایین  دو خواب بالا,6,340,340,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
341,1,1,,خیابان معرفت,,,3,1495000000,بتونی,شمالی,اجرنما,موزاییک,فلز,,1,با کاغذ قیمت(مهدی خانیان-1401/7/18)  با تسویه شهرداری  تانک و پمپ  سقف فلزی,6,341,341,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
342,1,0,148,خیابان شیخ بهایی جنوبی,,,3,2818600000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مرتضی خانیان-1401/9/5)  1/5 طبقه  یک خواب پایین  دو خواب سرپله  با تسویه حساب شهرداری  پکیج - پرده - موکت - تانک و پمپ  فقط فروش,6,342,342,buy,0,0,upload/property/thumbnail/GOPR2775.JPG,,,,,,,,1,1,
343,1,0,252,خیابان فرخی,,,,6700000000,نوساز,شمالی,سنگ,موزاییک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/3)  قیمت پیشنهادی صاحب منزل  ابعاد قناسی دارد  با تسویه حساب شهرداری  تانک و پمپ  کمد دیواری و کناف  کولر  دو خواب پایین  دو خواب بالا  ,6,343,343,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
344,2,0,200,خیابان شریعتی,,,,2100000000,,جنوبی,,,,,,بدون کاغذ قیمت,6,344,344,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
345,2,0,477,خیابان بوستان زندگی غربی,,,,3690720000,,جنوب شرقی,,,,,,با کاغذ قیمت(مهدی خانیان-1401/11/3)  26*18/50  پا امکانات  فروش نقدی بدون معاوضه  با تخفیف ویژه,6,345,345,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
346,1,0,309,خیابان منتظری جنوبی,2,,4,4185034000,آهن,جنوبی شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/11/5)  با تسویه شهرداری  فقط فروش  کاغذ قیمت(مهدی خانیان-1401/11/8 به مبلغ   3904000000)  فروش نقد,6,346,346,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
347,1,0,298,خیابان رضایی جنوبی,,,1,3084685500,آهن,شرقی,اجرنما,موزاییک, ,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/3/21)  مناسب برای تخریب  معاوضه با نوساز همکف,6,347,347,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
348,1,0,174,بلوار اسرافیلیان,2,,5,4301432000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان-1401/5/11)  فقط فروش  سه کولر  سه خواب بالا  دو خواب پایین,6,348,348,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
349,1,0,76,خیابان دانش,2,,2,2000000000,نیمه اسکلت,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/22)  دو انباری  بدن فیلم و عکس  فقط فروش نقدی  هر طبقه 1 خواب,6,349,349,buy,0,0,upload/property/thumbnail/GOPR2791.JPG,,,,,,,,1,1,
351,1,0,154,خیابان امام رضا,3,,,3229665000,بتونی,شمالی,اجر زبره,موزاییک,فلز,,1,با کاغذ قیمت(1401/6/9 ابراهیم پورنمازیان)  3 طبقه - طبقه وسط ساخته  مابقی سفتکاری  تانک و پمپ - بالابر  با تسویه حساب شهرداری  معاوضه با زمین تا 1500  یا فروش نقدی,6,351,351,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
352,2,0,920,ویلاشهر اول-خیابان آزادگان,,,,7130000000,,دونبش,,,,,, باکاغذ قیمت(محمدعلی کدخدایی-1401/11/23)  فقط فروش  مناسب برای ساختمان سازی,6,352,352,buy,0,0,upload/property/thumbnail/photo_2022-12-31_16-27-12.jpg,,,,,,,,1,1,
354,1,0,191,خیابان محمد رسول الله,,,3,3400000000,اسکلت,جنوبی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/6)  دو طبقه همکف  یک خواب سرپله  با تسویه حساب شهرداری  معاوضه با همکف در محدوده سعدی-مجاهد-15 خرداد  یا فروش نقدی,6,354,354,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
355,1,0,302,بلوار فجر,2,,5,6068955000,آهن,جنوبی غربی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(ابراهیم پورنمازیان - 1401/10/19)  فروش نقدی یا معاوضه با همکف  با تسویه شهرداری  درب برقی -کولر-دزدگیر  موکت  یک خواب سرپله  سه خواب بالا  یک خواب پایین,6,355,355,buy,0,0,upload/property/thumbnail/photo_2023-01-01_12-54-47.jpg,,,,,,,,1,1,
356,1,0,172,بلوار فجر,2,,5,3654000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,با کاغذ قیمت(مهدی خانیان-1401/11/4)  با تسویه شهرداری  کولر - تانک و پمپ  یک خواب سرپله  دو خواب بالا  دو خواب پایین,6,356,356,buy,0,0,upload/property/thumbnail/GOPR2820.JPG,,,,,,,,1,1,
357,1,0,193,بلوار بهارستان,2,,4,3682020000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,1,با کاغذ قیمت(مرتضی خانیان-1401/9/26)  بالا دو واحد و هر واحد یک خواب  پایین دو خواب  با تسویه شهرداری  پکیج-کولر-تانک و پمپ  کمد دیواری,6,357,357,buy,0,0,upload/property/thumbnail/GOPR2828.JPG,,,,,,,,1,1,
358,1,0,896,خیابان امام غربی,,,,19947000000,آهن,جنوبی,اجرنما,موزاییک,,1,1,با کاغذ قیمت(مهدی خانیان-1401/10/10)  هواری  ترجیحا دو قسط از سه قسط نقدی و مابقی ملک با ارزش  بدون عکس و فیلم  فروش با زمین کوچه بوستان کد  359,6,358,358,buy,0,0,upload/property/thumbnail/GOPR2838.JPG,,,,,,,,1,1,
360,1,0,163,خیابان مولوی شمالی,2,,,2826000000,سفت کاری شده,جنوبی,اجرنما,,,1,1,با کاغذ قیمت(1401/10/29مهدی خانیان)  با تسویه شهرداری  نیمه تمام-بدون فیلم و عکس  بن بست 10 متری,6,360,360,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
