property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,rent,house_mortgage,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
44,1,2,148,بلوار ولی عصر,,,3,3000000000,,جنوبی,,,,,,1 خواب پایین  2خواب بالا  دوبلکس   بدون عکس و فیلم  همکار,6,44,44,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
45,1,0,120,خیابان شهدا,,,2,2400000000,,جنوبی,,,,,,نوساز  بدون عکس و فیلم  همکار,6,45,45,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
46,1,0,133,بلوار فجر,,,2,2800000000,,شمالی,,,,,,نوساز  بدون عکس و فیلم,6,46,46,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
48,1,1,114,خیابان معرفت,,,2,2300000000,بتونی,جنوبی غربی,اجرنما,سرامیک,MDF,1,1,دارای دو ورودی  دو نبش  برگ قیمت: ابراهیم عبدالعظیمی,6,48,48,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
50,1,2,200,خیابان امام رضا,,,1,2150000000,بتونی,جنوبی,اجرنما,,,1,1,یک خواب پایین  یک خواب بالا  بدون کاغذ قیمت  فعلا بدون فیلم و عکس  آدرس حدودی,6,50,50,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
51,1,2,333,خیابان فرخی,,,2,3000000000,بتونی,شمالی جنوبی شرقی,,,,1,1,دو خواب بالا  دو خواب پایین  معاوضه با خانه کوچکتر تا 2 میلیارد در همان منطقه,6,51,51,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
57,6,2,108,فلکه بسیج,,2,2,1776750000,بتونی,شمالی,اجرنما,سرامیک,MDF,1,,برگه قیمت: ابراهیم پورنمازیان  تاریخ:1401/8/1,6,57,57,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
58,8,0,280,روبرو هنرستان پارسا,,,,,بتونی,شرقی,,,,,1,سوئیت کامل-دفترکار-5 مغازه-سرویس دستشویی و حمام-فاز کشاورزی,6,58,58,rent,15000000,150000000,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
66,1,1,130,خیابان منتظری شمالی,,,2,2550000000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,,کناف کاری  نوساز  بدون کاغذ قیمت  1 خواب سرپله  ,6,66,66,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
67,2,0,135,بلوار شهدای غربی,,,,810000000,,جنوبی,,,,,,معرف گچی  با کاغذ قیمت:املاک متین,6,67,67,buy,0,0,upload/property/thumbnail/No_Picture.jpg,,,,,,,,1,1,
